,0
sup12_buy,0.022750106223121434
sup12_sell,0.0236470813850754
sup3_buy,0.028989503435908334
sup3_sell,0.0281982306184721
sup6_buy,0.0239539744021438
sup6_sell,0.022997797377823023
sup9_buy,0.02021497768736375
sup9_sell,0.021109625258350587
flt12_buy,0.02331303954856026
flt12_sell,0.02337089315905809
flt1_buy,0.038393540260130116
flt3_buy,0.02872259512657519
flt3_sell,0.02719514873232167
flt6_buy,0.023591960126815262
flt6_sell,0.023634347134673647
flt9_buy,0.020826284748384674
flt9_sell,0.019625999723513116
mom1,0.03704658658623184
mom12,0.029346730976316123
mom3,0.029982701223966332
mom6,0.0287156569234086
mom9,0.02584243854409985
mva1_12,0.021755861479895604
mva1_3,0.035653589355676515
mva1_6,0.02919040864644899
mva1_9,0.021929954252366952
mva3_12,0.026180798768480274
mva3_6,0.032958415895440143
mva3_9,0.028321273441096913
mva6_12,0.030704390664969675
mva6_9,0.035987459934345725
mva9_12,0.03145929590872475
osc12_5,0.03589620757461054
osc1_5,0.0018203798031532622
osc3_5,0.024738105735366864
osc6_5,0.03812141868928014
osc9_5,0.03381322064782698
